company_cd,rr_cd,company_name,company_name_k,company_name_h,company_name_r,company_url,company_type,e_status,e_sort
173,99,엔슈철도,,遠州鉄道株式会社,遠鉄,http://www.entetsu.co.jp/,0,0,171
174,99,오이가와철도,,大井川鐵道株式会社,大鐵,http://www.oigawa-railway.co.jp/,0,0,172
175,99,나고야임해고속철도,,名古屋臨海高速鉄道株式会社,名臨高,http://www.aonamiline.co.jp/,0,0,173
176,99,도카이교통사업,,株式会社東海交通事業,東海交通事業,http://www.tkj-i.co.jp/,0,0,174
177,99,아이치칸죠철도,,愛知環状鉄道株式会社,愛環,http://www.aikanrailway.co.jp/,0,0,175
178,99,아이치고속교통,,愛知高速交通株式会社,愛知高速交通,http://www.linimo.jp/,0,0,176
179,99,나고야시교통국,,名古屋市交通局,名古屋市交通局,http://www.kotsu.city.nagoya.jp/,0,0,177
180,99,도카다이신교통,,桃花台新交通株式会社,桃花台新交通,,0,2,178
181,99,도요하시철도,,豊橋鉄道株式会社,豊鉄,http://www.toyotetsu.com/,0,0,179
182,99,나고야가이드웨이버스,,名古屋ガイドウェイバス株式会社,名古屋ガイドウェイバス,http://www.guideway.co.jp/,0,0,180
183,99,아케치철도,,明知鉄道株式会社,明知鉄道,http://www.aketetsu.co.jp/,0,0,181
184,99,나가라가와철도,,長良川鉄道株式会社,長鉄,http://www.nagatetsu.co.jp/,0,0,182
185,99,타루미철도,,樽見鉄道株式会社,樽鉄,http://tarumi-railway.com/,0,0,183
186,99,산기철도,,三岐鉄道株式会社,三岐鉄道,http://www.sangirail.co.jp/,0,0,184
187,99,이세철도,,伊勢鉄道株式会社,伊勢鉄道,http://www.isetetu.co.jp/,0,0,185
188,99,이가철도,,伊賀鉄道株式会社,伊賀鉄道,http://www.igatetsu.co.jp/,0,0,186
189,99,요로철도,,養老鉄道株式会社,養老鉄道,http://www.yororailway.co.jp/,0,0,187
247,99,욧카이치아스나로철도,,四日市あすなろう鉄道株式会社,あすてつ,,0,0,187
190,99,오미철도,オウミテツドウ,近江鉄道株式会社,近江鉄道,http://www.ohmitetudo.co.jp/,0,0,188
191,99,시가라키고원철도,,信楽高原鐵道株式会社,信楽高原鐵道,http://www.biwa.ne.jp/skr/,0,0,189
